313,Brvnište,48,Považská Bystrica
314,Brzotín,54,Rožňava
315,Buclovany,4,Bardejov
316,Búč,22,Komárno
317,Bučany,70,Trnava
318,Bučina,39,Námestovo
319,Bučkovec,41,Nové Mesto nad Váhom
320,Bučuháza,15,Dunajská Streda
321,Budatín,79,Žilina
322,Budatínska Lehota,29,Kysucké Nové Mesto
323,Budča,76,Zvolen
324,Budička,76,Zvolen
325,Budikovany,53,Rimavská Sobota
326,Budimír,27,Košice-okolie
327,Budiná,33,Lučenec
328,Budince,37,Michalovce
329,Budiš,71,Turčianske Teplice
330,Budkovce,37,Michalovce
331,Budmerice,44,Pezinok
332,Budulov,27,Košice-okolie
333,Budzín,56,Sabinov
334,Buglovce,31,Levoča
335,Bujakovo,10,Brezno
336,Buková,11,Bytča
337,Buková,70,Trnava
338,Bukovce,64,Stropkov
339,Bukovec,27,Košice-okolie
340,Bukovec,38,Myjava
341,Bukovec,73,Veľký Krtíš
342,Bukovina,32,Liptovský Mikuláš
343,Bukovina,78,Žiar nad Hronom
344,Bukovina,77,Žarnovica
345,Bukovinka,31,Levoča
346,Bukovinka,13,Detva
347,Bulhary,33,Lučenec
348,Bunde,49,Prešov
349,Bunetice,27,Košice-okolie
350,Bunkovce,61,Sobrance
351,Bušince,73,Veľký Krtíš
352,Bušovce,21,Kežmarok
353,Búštelek,15,Dunajská Streda
354,Butty,12,Čadca
355,Buzica,27,Košice-okolie
356,Buzice,27,Košice-okolie
357,Buzitka,33,Lučenec
358,Byster,27,Košice-okolie
359,Bystrá,64,Stropkov
360,Bystrá,10,Brezno
361,Bystrany,62,Spišská Nová Ves
362,Bystré,74,Vranov nad Topľou
363,Bystričany,50,Prievidza
364,Bystrička,35,Martin
365,Bystrička,22,Komárno
366,Bystrička,46,Poltár
367,Byšta,68,Trebišov
368,Bytča,11,Bytča
369,Bytčica,79,Žilina
370,Bzenica,78,Žiar nad Hronom
371,Bzenov,49,Prešov
372,Bzince,67,Topoľčany
373,Bzince pod Javorinou,41,Nové Mesto nad Váhom
374,Bziny,14,Dolný Kubín
375,Bzovík,28,Krupina
376,Bzovská Lehôtka,76,Zvolen
377,Bžany,64,Stropkov
378,Cabaj,40,Nitra
379,Cabaj - Čápor,40,Nitra
380,Cabov,74,Vranov nad Topľou
381,Cakov,53,Rimavská Sobota
382,Cejkov,68,Trebišov
383,Celulózka,79,Žilina
384,Cemjata,49,Prešov
385,Cernina,65,Svidník
386,Cerová,58,Senica
387,Cerová,50,Prievidza
388,Ceroviny,40,Nitra
389,Cerovo,28,Krupina
390,Cestice,27,Košice-okolie
391,Cetuna,41,Nové Mesto nad Váhom
392,Cífer,70,Trnava
393,Cigeľ,50,Prievidza
394,Cigeľka,4,Bardejov
395,Cigla,65,Svidník
396,Cimenná,1,Bánovce nad Bebravou
397,Cinobaňa,46,Poltár
398,Cunín,59,Skalica
399,Čab,40,Nitra
400,Čabalovce,36,Medzilaborce
401,Čabiny,36,Medzilaborce
402,Čabradský Vrbovok,28,Krupina
403,Čačín,2,Banská Bystrica
404,Čáčov,58,Senica
405,Čadca,12,Čadca
406,Čadca - Kyčerka,12,Čadca
407,Čadečka,12,Čadca
408,Čachtice,41,Nové Mesto nad Váhom
409,Čajakovo,30,Levice
410,Čajkov,30,Levice
411,Čaka,30,Levice
412,Čakajovce,40,Nitra
413,Čakanovce,27,Košice-okolie
414,Čakanovce,33,Lučenec
415,Čakany,15,Dunajská Streda
416,Čaklov,74,Vranov nad Topľou
417,Čalovec,22,Komárno
418,Čamovce,33,Lučenec
419,Čaňa,27,Košice-okolie
420,Čankov,30,Levice
421,Čápor,40,Nitra
422,Čaradice,75,Zlaté Moravce
423,Čáry,58,Senica
424,Častá,44,Pezinok
425,Částa,22,Komárno
426,Častkov,58,Senica
427,Častkovce,41,Nové Mesto nad Váhom
428,Čata,30,Levice
429,Čataj,57,Senec
430,Čavoj,50,Prievidza
431,Čebovce,73,Veľký Krtíš
432,Čečehov,37,Michalovce
433,Čečejovce,27,Košice-okolie
434,Čečínska Potôň,15,Dunajská Streda
435,Čechánky,13,Detva
436,Čechová,15,Dunajská Streda
437,Čechy,42,Nové Zámky
438,Čechynce,40,Nitra
439,Čekovce,28,Krupina
440,Čeľadice,40,Nitra
441,Čeľadince,67,Topoľčany
442,Čeláre,73,Veľký Krtíš
443,Čelkova Lehota,48,Považská Bystrica
444,Čelovce,49,Prešov
445,Čelovce,73,Veľký Krtíš
446,Čeľovce,68,Trebišov
447,Čemerné,74,Vranov nad Topľou
448,Čenkesfa,15,Dunajská Streda
449,Čenkov,42,Nové Zámky
450,Čenkovce,15,Dunajská Streda
451,Čereňany,50,Prievidza
452,Čerenčany,53,Rimavská Sobota
453,Čergov,22,Komárno
454,Čerhát,22,Komárno
455,Čerhov,68,Trebišov
456,Čerín,2,Banská Bystrica
457,Čermáň,40,Nitra
458,Čermany,67,Topoľčany
459,Černík,42,Nové Zámky
460,Černina,19,Humenné
461,Černochov,68,Trebišov
462,Černochov Vrch,41,Nové Mesto nad Váhom
463,Černová,55,Ružomberok
464,Čertižné,36,Medzilaborce
465,Červeň,46,Poltár
466,Červená Skala,10,Brezno
467,Červená Voda,56,Sabinov
468,Červeňany,52,Revúca
469,Červeňany,73,Veľký Krtíš
470,Červenica,49,Prešov
471,Červenica pri Sabinove,56,Sabinov
472,Červeník,18,Hlohovec
473,Červený Hrádok,75,Zlaté Moravce
474,Červený Kameň,20,Ilava
475,Červený Kameň,44,Pezinok
476,Červený Kláštor,21,Kežmarok
477,Červený Kláštor - kúpele,21,Kežmarok
478,České Brezovo,46,Poltár
479,Čiakov,11,Bytča
480,Čičarovce,37,Michalovce
481,Čičava,74,Vranov nad Topľou
482,Čičmany,79,Žilina
483,Číčov,22,Komárno
484,Čierna,68,Trebišov
485,Čierna Hora,17,Gelnica
486,Čierna Lehota,54,Rožňava
487,Čierna Lehota,1,Bánovce nad Bebravou
488,Čierna nad Tisou,68,Trebišov
489,Čierna Voda,16,Galanta
490,Čierne,11,Bytča
491,Čierne,12,Čadca
492,Čierne,12,Čadca
493,Čierne Kľačany,75,Zlaté Moravce
494,Čierne nad Topľou,74,Vranov nad Topľou
495,Čierne Pole,37,Michalovce
496,Čierny Balog,10,Brezno
497,Čierny Brod,16,Galanta
498,Čierny Chrbát,22,Komárno
499,Čierny Potok,53,Rimavská Sobota
500,Čierny Váh,32,Liptovský Mikuláš
501,Čifáre,40,Nitra
502,Čiky,42,Nové Zámky
503,Čilistov,15,Dunajská Streda
504,Čiližská Radvaň,15,Dunajská Streda
505,Čimhová,72,Tvrdošín
506,Čirč,63,Stará Ľubovňa
507,Číž,53,Rimavská Sobota
508,Číž - kúpele,53,Rimavská Sobota
509,Čižatice,27,Košice-okolie
510,Čoltovo,54,Rožňava
511,Čremošné,71,Turčianske Teplice
512,Čučma,54,Rožňava
513,Čukalovce,60,Snina
514,Čukárska Paka,15,Dunajská Streda
515,Čuklasovce,1,Bánovce nad Bebravou
516,Ďačov,56,Sabinov
517,Dačov Lom,73,Veľký Krtíš
518,Daletice,56,Sabinov
519,Dancov Potok,68,Trebišov
520,Danišovce,62,Spišská Nová Ves
521,Ďanová,35,Martin
522,Ďapalovce,74,Vranov nad Topľou
523,Dargov,68,Trebišov
524,Davidov,74,Vranov nad Topľou
525,Debraď,27,Košice-okolie
526,Dedačov,19,Humenné
527,Dedina Mládeže,22,Komárno
528,Dedinka,42,Nové Zámky
529,Dedinka pri Dunaji,57,Senec
530,Dedinky,54,Rožňava
531,Dechtice,70,Trnava
532,Dekýš,3,Banská Štiavnica
533,Delava,62,Spišská Nová Ves
534,Demandice,30,Levice
535,Demänová,39,Námestovo
536,Demänová,32,Liptovský Mikuláš
537,Demänovská Dolina,32,Liptovský Mikuláš
538,Demjata,49,Prešov
539,Demkovská,14,Dolný Kubín
540,Dešná,51,Púchov
541,Detrík,74,Vranov nad Topľou
542,Detva,13,Detva
543,Detva - sídlisko,13,Detva
544,Detvianska Huta,13,Detva
545,Devičany,30,Levice
546,Devičie,28,Krupina
547,Dežerice,1,Bánovce nad Bebravou
548,Diaková,35,Martin
549,Diakovce,66,Šaľa
550,Didka,12,Čadca
551,Diel,33,Lučenec
552,Diva,42,Nové Zámky
553,Diviacka Nová Ves,50,Prievidza
554,Diviaky,71,Turčianske Teplice
555,Diviaky nad Nitricou,50,Prievidza
556,Divín,33,Lučenec
557,Divina,79,Žilina
558,Divinka,79,Žilina
559,Divínske Lazy,33,Lučenec
560,Dlhá,70,Trnava
561,Dlhá Lúka,32,Liptovský Mikuláš
562,Dlhá Lúka,4,Bardejov
563,Dlhá nad Kysucou,12,Čadca
564,Dlhá nad Oravou,14,Dolný Kubín
565,Dlhá nad Váhom,66,Šaľa
566,Dlhá Ves,54,Rožňava
567,Dlhé Klčovo,74,Vranov nad Topľou
568,Dlhé nad Cirochou,60,Snina
569,Dlhé Pole,79,Žilina
570,Dlhé Stráže,31,Levoča
571,Dlhoňa,65,Svidník
572,Dlžín,50,Prievidza
573,Dobogov,30,Levice
574,Dobogov,27,Košice-okolie
575,Dobrá,68,Trebišov
576,Dobrá,69,Trenčín
577,Dobrá Niva,76,Zvolen
578,Dobrá Voda,70,Trnava
579,Dobrá Voľa,62,Spišská Nová Ves
580,Dobrianky,74,Vranov nad Topľou
581,Dobroč,10,Brezno
582,Dobroč,33,Lučenec
583,Dobročná,50,Prievidza
584,Dobrohošť,15,Dunajská Streda
585,Dobroslava,65,Svidník
586,Dobrý Potok,46,Poltár
587,Dobšiná,54,Rožňava
588,Dobšinská Ľadová Jaskyňa,54,Rožňava
589,Dobšinská Maša,54,Rožňava
590,Dohňany,51,Púchov
591,Dojč,58,Senica
592,Doľany,31,Levoča
593,Doľany,44,Pezinok
594,Dolina,14,Dolný Kubín
595,Dolina,49,Prešov
596,Dolinka,73,Veľký Krtíš
597,Dolinky,11,Bytča
598,Dolinky,51,Púchov
599,Dolinky,76,Zvolen
600,Dolná Breznica,51,Púchov
601,Dolná Bzová,13,Detva
602,Dolná Krupá,70,Trnava
603,Dolná Lehota,14,Dolný Kubín
604,Dolná Lehota,10,Brezno
605,Dolná Mariková,48,Považská Bystrica
606,Dolná Mičiná,2,Banská Bystrica
607,Dolná Môlča,2,Banská Bystrica
608,Dolná Poruba,69,Trenčín
609,Dolná Potôň,15,Dunajská Streda
610,Dolná Seč,30,Levice
611,Dolná Streda,16,Galanta
612,Dolná Strehová,73,Veľký Krtíš
613,Dolná Súča,69,Trenčín
614,Dolná Štubňa,71,Turčianske Teplice
615,Dolná Tižina,79,Žilina
616,Dolná Trnávka,78,Žiar nad Hronom
617,Dolná Ves,78,Žiar nad Hronom
618,Dolná Závrská,69,Trenčín
619,Dolná Ždaňa,78,Žiar nad Hronom
620,Dolné Breziny,76,Zvolen
621,Dolné Držkovce,1,Bánovce nad Bebravou
622,Dolné Dubové,70,Trnava
623,Dolné Hámre,77,Žarnovica
624,Dolné Chlebany,67,Topoľčany
625,Dolné Janíky,15,Dunajská Streda
626,Dolné Jaseno,35,Martin
627,Dolné Kočkovce,51,Púchov
628,Dolné Košariská,38,Myjava
629,Dolné Krškany,40,Nitra
630,Dolné Lefantovce,40,Nitra
631,Dolné Lelovce,50,Prievidza
632,Dolné Lovčice,70,Trnava
633,Dolné Mladonice,28,Krupina
634,Dolné Motešice,69,Trenčín
635,Dolné Naštice,1,Bánovce nad Bebravou
636,Dolné Obdokovce,40,Nitra
637,Dolné Orešany,70,Trnava
638,Dolné Otrokovce,18,Hlohovec
639,Dolné Ozorovce,1,Bánovce nad Bebravou
640,Dolné Plachtince,73,Veľký Krtíš
641,Dolné Príbelce,73,Veľký Krtíš
642,Dolné Rykynčice,28,Krupina
643,Dolné Saliby,16,Galanta
644,Dolné Semerovce,30,Levice
645,Dolné Sľažany,75,Zlaté Moravce
646,Dolné Srnie,41,Nové Mesto nad Váhom
647,Dolné Strháre,73,Veľký Krtíš
648,Dolné Trhovište,18,Hlohovec
649,Dolné Turovce,30,Levice
650,Dolné Vestenice,50,Prievidza
651,Dolné Zahorany,53,Rimavská Sobota
652,Dolné Zelenice,18,Hlohovec
653,Dolný Badín,28,Krupina
654,Dolný Bar,15,Dunajská Streda
655,Dolný Ďur,30,Levice
656,Dolný Harmanec,2,Banská Bystrica
657,Dolný Hričov,79,Žilina
658,Dolný Chotár,16,Galanta
659,Dolný Jalšovík,28,Krupina
660,Dolný Jatov,42,Nové Zámky
661,Dolný Jelenec,2,Banská Bystrica
662,Dolný Kalník,35,Martin
663,Dolný Kubín,14,Dolný Kubín
664,Dolný Les,37,Michalovce
665,Dolný Lieskov,48,Považská Bystrica
666,Dolný Lopašov,45,Piešťany
667,Dolný Moštenec,48,Považská Bystrica
668,Dolný Ohaj,42,Nové Zámky
669,Dolný Pial,30,Levice
670,Dolný Smokovec,47,Poprad
671,Dolný Štál,15,Dunajská Streda
672,Dolný Štefanov,72,Tvrdošín
673,Dolný Tisovník,13,Detva
674,Dolný Turček,71,Turčianske Teplice
675,Dolný Vadičov,29,Kysucké Nové Mesto
676,Dolný Vinodol,40,Nitra
677,Doma,57,Senec
678,Domadice,30,Levice
679,Domaníky,28,Krupina
680,Domaniža,48,Považská Bystrica
681,Domaňovce,31,Levoča
682,Domaša,30,Levice
683,Donovaly,2,Banská Bystrica
684,Dora,33,Lučenec
685,Dovalovo,32,Liptovský Mikuláš
686,Drábsko,10,Brezno
687,Drahňov,37,Michalovce
688,Drahošanka,12,Čadca
689,Drahovce,45,Piešťany
690,Dravce,31,Levoča
691,Dražice,53,Rimavská Sobota
692,Dražkovce,35,Martin
693,Dražovce,40,Nitra
694,Drážovce,28,Krupina
695,Driečna,64,Stropkov
696,Drienčany,53,Rimavská Sobota
697,Drienica,56,Sabinov
698,Drienov,49,Prešov
699,Drienovec,27,Košice-okolie
700,Drienovo,28,Krupina
701,Drienovská Nová Ves,49,Prešov
702,Drietoma,69,Trenčín
703,Drňa,53,Rimavská Sobota
704,Drnava,54,Rožňava
705,Drnava,73,Veľký Krtíš
706,Družstevná pri Hornáde,27,Košice-okolie
707,Drženice,30,Levice
708,Držkovce,52,Revúca
709,Ďubákovo,46,Poltár
710,Dubie,29,Kysucké Nové Mesto
711,Dubie,4,Bardejov
712,Dubinné,4,Bardejov
713,Dubková,51,Púchov
714,Dubnica,50,Prievidza
715,Dubnica nad Váhom,20,Ilava
716,Dubnička,1,Bánovce nad Bebravou
717,Dubník,49,Prešov
718,Dubník,42,Nové Zámky
719,Dubno,53,Rimavská Sobota
720,Dubodiel,69,Trenčín
721,Dubová,65,Svidník
722,Dubová,44,Pezinok
723,Dubová,10,Brezno
724,Dubovany,45,Piešťany
725,Dubovce,59,Skalica
726,Dubové,71,Turčianske Teplice
727,Dubové,76,Zvolen
728,Dubovec,53,Rimavská Sobota
729,Dubovica,56,Sabinov
730,Dúbrava,32,Liptovský Mikuláš
731,Dúbrava,31,Levoča
732,Dúbrava,60,Snina
733,Dúbrava,49,Prešov
734,Dúbrava,69,Trenčín
735,Dúbrava,73,Veľký Krtíš
736,Dúbravica,2,Banská Bystrica
737,Dúbravka,37,Michalovce
738,Dúbravy,13,Detva
739,Ducové,45,Piešťany
740,Dudince,28,Krupina
741,Duchenec,28,Krupina
742,Dukovce,65,Svidník
743,Dulice,35,Martin
744,Dulov,20,Ilava
745,Duľov,39,Námestovo
746,Ďulov Dvor,22,Komárno
747,Dulova Ves,49,Prešov
748,Dulovce,22,Komárno
749,Dulovo,53,Rimavská Sobota
750,Dunajov,12,Čadca
751,Dunajská Lužná,57,Senec
752,Dunajská Streda,15,Dunajská Streda
753,Dunajský Klátov,15,Dunajská Streda
754,Duplín,64,Stropkov
755,Ďurčiná,79,Žilina
756,Ďurďoš,74,Vranov nad Topľou
757,Ďurďošík,27,Košice-okolie
758,Ďurďové,48,Považská Bystrica
759,Ďurkov,27,Košice-okolie
760,Ďurková,63,Stará Ľubovňa
761,Ďurkovce,73,Veľký Krtíš
762,Dúžava,53,Rimavská Sobota
763,Dvor Mikuláš,42,Nové Zámky
764,Dvorany nad Nitrou,67,Topoľčany
765,Dvorec,71,Turčianske Teplice
766,Dvorec,1,Bánovce nad Bebravou
767,Dvorianky,68,Trebišov
768,Dvorníky,27,Košice-okolie
769,Dvorníky,18,Hlohovec
770,Dvorníky,28,Krupina
771,Dvorníky - Včeláre,27,Košice-okolie
772,Dvorníky nad Nitricou,50,Prievidza
773,Dvory nad Žitavou,42,Nové Zámky
774,Dyčka,40,Nitra
775,Egreš,68,Trebišov
776,Eliášovce,15,Dunajská Streda
777,Etreho Kračany,15,Dunajská Streda
778,Fačkov,79,Žilina
